Reaction.Time,Tempo
0.9101400375,100 bpm
0.9267799854,100 bpm
0.9667539597,100 bpm
0.9990518093,100 bpm
0.9999568462,100 bpm
0.9999918938,100 bpm
1.0166649818,100 bpm
1.02856493,100 bpm
1.0319890976,100 bpm
1.0332319737,100 bpm
1.0437419415,100 bpm
1.0443329811,100 bpm
1.0457549095,100 bpm
1.0501770973,100 bpm
1.0502979755,100 bpm
1.0648539066,100 bpm
1.0668349266,100 bpm
1.0669288635,100 bpm
1.0819878578,100 bpm
1.0831160545,100 bpm
1.0834391117,100 bpm
1.0837190151,100 bpm
1.0862321854,100 bpm
1.0902650356,100 bpm
1.0938980579,100 bpm
1.0944950581,100 bpm
1.0959489346,100 bpm
1.0997328758,100 bpm
1.0997979641,100 bpm
1.0999948978,100 bpm
1.1000649929,100 bpm
1.1115839481,100 bpm
1.1136229038,100 bpm
1.1158561707,100 bpm
1.116533041,100 bpm
1.1166639328,100 bpm
1.130136013,100 bpm
1.1323871613,100 bpm
1.1333231926,100 bpm
1.133795023,100 bpm
1.1474158764,100 bpm
1.1480748653,100 bpm
1.1490209103,100 bpm
1.1492211819,100 bpm
1.1502640247,100 bpm
1.1540050507,100 bpm
1.1574511528,100 bpm
1.1600677967,100 bpm
1.1641218662,100 bpm
1.1647789478,100 bpm
1.1666910648,100 bpm
1.1668410301,100 bpm
1.1789550781,100 bpm
1.18085289,100 bpm
1.182320118,100 bpm
1.1832010746,100 bpm
1.1835131645,100 bpm
1.183604002,100 bpm
1.1838049889,100 bpm
1.1865599155,100 bpm
1.1902098656,100 bpm
1.1936168671,100 bpm
1.197519064,100 bpm
1.1999599934,100 bpm
1.1999740601,100 bpm
1.2000479698,100 bpm
1.2001430988,100 bpm
1.214056015,100 bpm
1.2140631676,100 bpm
1.2164819241,100 bpm
1.2165789604,100 bpm
1.2166600227,100 bpm
1.2166688442,100 bpm
1.220856905,100 bpm
1.2282128334,100 bpm
1.2285540104,100 bpm
1.2305879593,100 bpm
1.2310059071,100 bpm
1.2331750393,100 bpm
1.2332308292,100 bpm
1.2333440781,100 bpm
1.2333800793,100 bpm
1.2334229946,100 bpm
1.2400560379,100 bpm
1.2450580597,100 bpm
1.2471590042,100 bpm
1.247205019,100 bpm
1.2496109009,100 bpm
1.2497928143,100 bpm
1.2498838902,100 bpm
1.2499330044,100 bpm
1.249997139,100 bpm
1.2500531673,100 bpm
1.2500939369,100 bpm
1.2538599968,100 bpm
1.2550828457,100 bpm
1.257997036,100 bpm
1.2593300343,100 bpm
1.2596449852,100 bpm
1.2624650002,100 bpm
1.2640368938,100 bpm
1.2666289806,100 bpm
1.2666819096,100 bpm
1.266751051,100 bpm
1.2668819428,100 bpm
1.2669270039,100 bpm
1.267015934,100 bpm
1.2672510147,100 bpm
1.2676100731,100 bpm
1.2676141262,100 bpm
1.2712919712,100 bpm
1.2792289257,100 bpm
1.2831327915,100 bpm
1.2833189964,100 bpm
1.2834119797,100 bpm
1.2844128609,100 bpm
1.2871849537,100 bpm
1.2935321331,100 bpm
1.2959330082,100 bpm
1.2965109348,100 bpm
1.2968959808,100 bpm
1.2972221375,100 bpm
1.298404932,100 bpm
1.2986209393,100 bpm
1.3000068665,100 bpm
1.300080061,100 bpm
1.3139140606,100 bpm
1.3166911602,100 bpm
1.3166999817,100 bpm
1.3170070648,100 bpm
1.3209371567,100 bpm
1.3328800201,100 bpm
1.3330690861,100 bpm
1.3331179619,100 bpm
1.3333730698,100 bpm
1.33345294,100 bpm
1.3339729309,100 bpm
1.3477580547,100 bpm
1.3498427868,100 bpm
1.3500828743,100 bpm
1.3500909805,100 bpm
1.3501560688,100 bpm
1.3501620293,100 bpm
1.3502099514,100 bpm
1.3503360748,100 bpm
1.3548038006,100 bpm
1.3561649323,100 bpm
1.3562309742,100 bpm
1.3630681038,100 bpm
1.3656249046,100 bpm
1.3664441109,100 bpm
1.3664791584,100 bpm
1.3664801121,100 bpm
1.377614975,100 bpm
1.3811228275,100 bpm
1.3833189011,100 bpm
1.3833560944,100 bpm
1.3833589554,100 bpm
1.3834681511,100 bpm
1.3834841251,100 bpm
1.3942608833,100 bpm
1.3969480991,100 bpm
1.3983359337,100 bpm
1.3999769688,100 bpm
1.415255785,100 bpm
1.4164719582,100 bpm
1.4165620804,100 bpm
1.4166038036,100 bpm
1.4166059494,100 bpm
1.4169118404,100 bpm
1.4169118404,100 bpm
1.4169170857,100 bpm
1.4177298546,100 bpm
1.4280040264,100 bpm
1.4330668449,100 bpm
1.4331800938,100 bpm
1.4332849979,100 bpm
1.433357954,100 bpm
1.4449160099,100 bpm
1.4453160763,100 bpm
1.4473760128,100 bpm
1.4476940632,100 bpm
1.4485340118,100 bpm
1.4498150349,100 bpm
1.4499561787,100 bpm
1.4499630928,100 bpm
1.4500730038,100 bpm
1.4500889778,100 bpm
1.4508900642,100 bpm
1.4518859386,100 bpm
1.4606311321,100 bpm
1.4606900215,100 bpm
1.4641628265,100 bpm
1.464400053,100 bpm
1.4645760059,100 bpm
1.4735460281,100 bpm
1.4814510346,100 bpm
1.4828400612,100 bpm
1.483301878,100 bpm
1.4837019444,100 bpm
1.4968109131,100 bpm
1.4979548454,100 bpm
1.4995939732,100 bpm
1.4997370243,100 bpm
1.4999220371,100 bpm
1.5163631439,100 bpm
1.5180239677,100 bpm
1.5271589756,100 bpm
1.5278718472,100 bpm
1.5280981064,100 bpm
1.5299670696,100 bpm
1.5323491097,100 bpm
1.5331330299,100 bpm
1.5333578587,100 bpm
1.5334038734,100 bpm
1.5341691971,100 bpm
1.5345201492,100 bpm
1.5500738621,100 bpm
1.5505621433,100 bpm
1.556540966,100 bpm
1.5591740608,100 bpm
1.5665988922,100 bpm
1.5668458939,100 bpm
1.571267128,100 bpm
1.5786771774,100 bpm
1.5831689835,100 bpm
1.5832870007,100 bpm
1.5833818913,100 bpm
1.5881481171,100 bpm
1.5884399414,100 bpm
1.5958049297,100 bpm
1.5982210636,100 bpm
1.5999901295,100 bpm
1.6130218506,100 bpm
1.613754034,100 bpm
1.6147480011,100 bpm
1.6148841381,100 bpm
1.616631031,100 bpm
1.6166369915,100 bpm
1.6166410446,100 bpm
1.6168110371,100 bpm
1.6168467999,100 bpm
1.6215190888,100 bpm
1.6297621727,100 bpm
1.633177042,100 bpm
1.6333010197,100 bpm
1.6333270073,100 bpm
1.6336939335,100 bpm
1.6454179287,100 bpm
1.6461620331,100 bpm
1.6468610764,100 bpm
1.6475729942,100 bpm
1.6497449875,100 bpm
1.6499569416,100 bpm
1.6618471146,100 bpm
1.6639630795,100 bpm
1.6664459705,100 bpm
1.6733548641,100 bpm
1.6788210869,100 bpm
1.6834628582,100 bpm
1.6855039597,100 bpm
1.6965909004,100 bpm
1.6980168819,100 bpm
1.7002558708,100 bpm
1.7004289627,100 bpm
1.7125589848,100 bpm
1.7146091461,100 bpm
1.716383934,100 bpm
1.7167580128,100 bpm
1.7167758942,100 bpm
1.7284529209,100 bpm
1.731210947,100 bpm
1.7312419415,100 bpm
1.7334260941,100 bpm
1.7358081341,100 bpm
1.7473301888,100 bpm
1.748306036,100 bpm
1.7499780655,100 bpm
1.7501649857,100 bpm
1.7615380287,100 bpm
1.7619950771,100 bpm
1.7664339542,100 bpm
1.7666010857,100 bpm
1.7742199898,100 bpm
1.7773778439,100 bpm
1.7789609432,100 bpm
1.7823369503,100 bpm
1.7830741406,100 bpm
1.7832808495,100 bpm
1.7837049961,100 bpm
1.7978129387,100 bpm
1.7999629974,100 bpm
1.7999830246,100 bpm
1.8008139134,100 bpm
1.8115198612,100 bpm
1.8118629456,100 bpm
1.812076807,100 bpm
1.8276469708,100 bpm
1.829390049,100 bpm
1.8312809467,100 bpm
1.8332059383,100 bpm
1.8333480358,100 bpm
1.8334159851,100 bpm
1.8334579468,100 bpm
1.8475170136,100 bpm
1.8476080895,100 bpm
1.8497648239,100 bpm
1.8501110077,100 bpm
1.8501389027,100 bpm
1.8598980904,100 bpm
1.8665149212,100 bpm
1.8666448593,100 bpm
1.8831801415,100 bpm
1.8833720684,100 bpm
1.8921620846,100 bpm
1.9164741039,100 bpm
1.9167308807,100 bpm
1.9395499229,100 bpm
1.9481890202,100 bpm
1.978096962,100 bpm
1.9831821919,100 bpm
