Reaction.Time,Tempo 
1.522542,100 bpm
0.87093091,100 bpm
0.871210098,100 bpm
0.886698961,100 bpm
0.904481888,100 bpm
0.920847893,100 bpm
0.937369108,100 bpm
0.968345881,100 bpm
0.982491016,100 bpm
1.004352093,100 bpm
1.037680864,100 bpm
1.071861982,100 bpm
1.113873005,100 bpm
1.137426853,100 bpm
1.13843298,100 bpm
1.138484001,100 bpm
1.149736166,100 bpm
1.154338121,100 bpm
1.155001163,100 bpm
1.155206919,100 bpm
1.166388988,100 bpm
1.171162128,100 bpm
1.171527147,100 bpm
1.18248415,100 bpm
1.199605942,100 bpm
1.221313,100 bpm
1.221655846,100 bpm
1.222034931,100 bpm
1.266731024,100 bpm
1.272084951,100 bpm
1.283193111,100 bpm
1.289343834,100 bpm
1.297548056,100 bpm
1.358462811,100 bpm
1.371729136,100 bpm
1.404922962,100 bpm
1.434885025,100 bpm
1.488467932,100 bpm
1.489099026,100 bpm
1.505808115,100 bpm
1.549736977,100 bpm
1.555850029,100 bpm
1.56673789,100 bpm
1.588148117,100 bpm
1.700212002,100 bpm
2.322240114,100 bpm
3.724992037,100 bpm
1.083393097,100 bpm
0.866857052,100 bpm
0.966790915,100 bpm
1.033425808,100 bpm
1.04978013,100 bpm
1.049890995,100 bpm
1.049988031,100 bpm
1.066779852,100 bpm
1.116750002,100 bpm
1.133479118,100 bpm
1.149925947,100 bpm
1.149927855,100 bpm
1.166615963,100 bpm
1.166722059,100 bpm
1.200030088,100 bpm
1.249949932,100 bpm
1.250038147,100 bpm
1.265650034,100 bpm
1.266540051,100 bpm
1.266636133,100 bpm
1.266689062,100 bpm
1.283370018,100 bpm
1.31772995,100 bpm
1.333420992,100 bpm
1.333528996,100 bpm
1.366601944,100 bpm
1.366648912,100 bpm
1.393058062,100 bpm
1.400044918,100 bpm
1.400098085,100 bpm
1.416934013,100 bpm
1.450041056,100 bpm
1.483277798,100 bpm
1.483338833,100 bpm
1.583408117,100 bpm
1.599960804,100 bpm
1.6167171,100 bpm
1.733227015,100 bpm
1.733389139,100 bpm
1.783247948,100 bpm
1.783477068,100 bpm
1.816762924,100 bpm
1.866684914,100 bpm
2.150003195,100 bpm
2.216726065,100 bpm
3.199801207,100 bpm
0.927078962,100 bpm
0.950496197,100 bpm
0.981458902,100 bpm
1.000128984,100 bpm
1.000196934,100 bpm
1.000222206,100 bpm
1.015439987,100 bpm
1.030927897,100 bpm
1.031325817,100 bpm
1.048716068,100 bpm
1.050240994,100 bpm
1.065024138,100 bpm
1.065639019,100 bpm
1.065818071,100 bpm
1.066987991,100 bpm
1.098011017,100 bpm
1.115375996,100 bpm
1.115421057,100 bpm
1.115648031,100 bpm
1.115677118,100 bpm
1.130916119,100 bpm
1.162689924,100 bpm
1.166913033,100 bpm
1.167083979,100 bpm
1.182011843,100 bpm
1.182255983,100 bpm
1.183828115,100 bpm
1.23131299,100 bpm
1.231906891,100 bpm
1.247620106,100 bpm
1.248541832,100 bpm
1.298654079,100 bpm
1.298682928,100 bpm
1.314689159,100 bpm
1.330822945,100 bpm
1.348183155,100 bpm
1.348200083,100 bpm
1.364719868,100 bpm
1.380028963,100 bpm
1.38115406,100 bpm
1.43128705,100 bpm
1.500488043,100 bpm
1.545013189,100 bpm
1.547336102,100 bpm
1.550211906,100 bpm
1.565109968,100 bpm
1.581647873,100 bpm
1.633468866,100 bpm
1.444446087,100 bpm
2.012289047,100 bpm
2.0444839,100 bpm
0.943300009,100 bpm
0.956636906,100 bpm
0.989631891,100 bpm
1.040896893,100 bpm
1.041330099,100 bpm
1.098640919,100 bpm
1.10998106,100 bpm
1.122155905,100 bpm
1.124361038,100 bpm
1.127741814,100 bpm
1.140264034,100 bpm
1.143808126,100 bpm
1.176373005,100 bpm
1.210160971,100 bpm
1.226658106,100 bpm
1.275367022,100 bpm
1.27719903,100 bpm
1.277271986,100 bpm
1.288321018,100 bpm
1.2925179,100 bpm
1.307834148,100 bpm
1.309044838,100 bpm
1.355020046,100 bpm
1.393504143,100 bpm
1.423042059,100 bpm
1.434546947,100 bpm
1.440860033,100 bpm
1.444397926,100 bpm
1.444464922,100 bpm
1.459048986,100 bpm
1.525846958,100 bpm
1.525875092,100 bpm
1.543790817,100 bpm
1.67632699,100 bpm
1.896550179,100 bpm
1.989748955,100 bpm
2.011253834,100 bpm
2.030341864,100 bpm
2.033522844,100 bpm
2.111243963,100 bpm
2.295401812,100 bpm
2.365813971,100 bpm
2.499453068,100 bpm
2.83366394,100 bpm
3.084668159,100 bpm
0.915809155,100 bpm
0.929472923,100 bpm
0.933406115,100 bpm
0.948661089,100 bpm
0.965227127,100 bpm
0.99613905,100 bpm
0.999353886,100 bpm
0.99988699,100 bpm
1.01236105,100 bpm
1.015042067,100 bpm
1.025432825,100 bpm
1.029222965,100 bpm
1.032146931,100 bpm
1.032299042,100 bpm
1.032410145,100 bpm
1.033987045,100 bpm
1.034358978,100 bpm
1.045337915,100 bpm
1.04884696,100 bpm
1.065524817,100 bpm
1.065667868,100 bpm
1.081737041,100 bpm
1.09602809,100 bpm
1.098572969,100 bpm
1.099839926,100 bpm
1.112879992,100 bpm
1.116171837,100 bpm
1.116748095,100 bpm
1.130884171,100 bpm
1.132061958,100 bpm
1.16268611,100 bpm
1.166050196,100 bpm
1.166536093,100 bpm
1.166628122,100 bpm
1.179853916,100 bpm
1.199582815,100 bpm
1.216276884,100 bpm
1.227362871,100 bpm
1.261190891,100 bpm
1.26249814,100 bpm
1.26586318,100 bpm
1.282367945,100 bpm
1.282500982,100 bpm
1.299900055,100 bpm
1.315505981,100 bpm
1.317329884,100 bpm
1.329009056,100 bpm
1.365775824,100 bpm
0.916564941,100 bpm
1.129419088,100 bpm
1.149868011,100 bpm
1.365998983,100 bpm
1.499647856,100 bpm
0.949388027,100 bpm
0.979593992,100 bpm
1.015836,100 bpm
1.031157017,100 bpm
1.048659801,100 bpm
1.081944942,100 bpm
1.083039999,100 bpm
1.114639997,100 bpm
1.115274191,100 bpm
1.128144979,100 bpm
1.133209944,100 bpm
1.133387804,100 bpm
1.148587942,100 bpm
1.148749113,100 bpm
1.210974932,100 bpm
1.213753939,100 bpm
1.216604948,100 bpm
1.217033863,100 bpm
1.229176998,100 bpm
1.233061075,100 bpm
1.284464836,100 bpm
1.298742056,100 bpm
1.300051928,100 bpm
1.312537909,100 bpm
1.33255887,100 bpm
1.351004839,100 bpm
1.364523172,100 bpm
1.399837017,100 bpm
1.429894924,100 bpm
1.443059921,100 bpm
1.446756125,100 bpm
1.496456862,100 bpm
1.512213945,100 bpm
1.533168077,100 bpm
1.583576918,100 bpm
1.616305113,100 bpm
1.798925877,100 bpm
1.832400084,100 bpm
2.4291749,100 bpm
2.566205025,100 bpm
2.665045977,100 bpm
3.982163906,100 bpm
4.098258018,100 bpm
0.933372974,100 bpm
0.883430958,100 bpm
0.883615971,100 bpm
0.900156021,100 bpm
0.916763067,100 bpm
0.917130947,100 bpm
0.933395147,100 bpm
0.933459044,100 bpm
0.93349719,100 bpm
0.933561802,100 bpm
0.933640957,100 bpm
0.949816942,100 bpm
0.950299978,100 bpm
0.966599941,100 bpm
0.983099937,100 bpm
0.983484983,100 bpm
0.983518124,100 bpm
0.983536005,100 bpm
0.983668804,100 bpm
1.00001502,100 bpm
1.000050068,100 bpm
1.00028801,100 bpm
1.0333848,100 bpm
1.033406973,100 bpm
1.033419847,100 bpm
1.050022841,100 bpm
1.066046,100 bpm
1.066609859,100 bpm
1.06673193,100 bpm
1.08294487,100 bpm
1.100819111,100 bpm
1.116824865,100 bpm
1.116919041,100 bpm
1.116936922,100 bpm
1.132516861,100 bpm
1.166689157,100 bpm
1.183434963,100 bpm
1.199767113,100 bpm
1.233167171,100 bpm
1.266917229,100 bpm
1.300060987,100 bpm
1.312964916,100 bpm
1.333729982,100 bpm
1.350024939,100 bpm
1.366774082,100 bpm
1.500010014,100 bpm
2.116640806,100 bpm
2.35010314,100 bpm
0.833647013,100 bpm
1.079293013,100 bpm
0.965602875,100 bpm
0.900152922,100 bpm
0.915987015,100 bpm
0.928828001,100 bpm
0.928917885,100 bpm
0.946120977,100 bpm
0.963601112,100 bpm
1.000102043,100 bpm
1.01352787,100 bpm
1.015960932,100 bpm
1.032847881,100 bpm
1.045843124,100 bpm
1.213058949,100 bpm
1.214508057,100 bpm
1.316026926,100 bpm
1.316586018,100 bpm
1.401115894,100 bpm
1.449393034,100 bpm
1.499953032,100 bpm
1.548324108,100 bpm
1.883545876,100 bpm
1.949796915,100 bpm
